Date,BTC-USD,ETH-USD,SOL-USD,BNB-USD
2024-05-21,70136.53125,3789.312744140625,178.11614990234375,618.4204711914062
2024-05-22,69122.3359375,3737.2177734375,176.86077880859375,614.671875
2024-05-23,67929.5625,3776.92724609375,175.98577880859375,598.6708374023438
2024-05-24,68526.1015625,3726.9345703125,167.7969207763672,600.2258911132812
2024-05-28,68296.21875,3840.25634765625,168.65084838867188,601.2132568359375
2024-05-29,67578.09375,3763.196533203125,168.0726776123047,594.9720458984375
2024-05-30,68364.9921875,3746.849609375,166.97653198242188,595.0267944335938
2024-05-31,67491.4140625,3760.026611328125,165.63771057128906,593.5223388671875
2024-06-03,68804.78125,3766.38916015625,164.9234619140625,626.4329833984375
2024-06-04,70567.765625,3812.515869140625,171.8019256591797,686.201416015625
2024-06-05,71082.8203125,3864.260986328125,173.48291015625,698.889404296875
